"% Correct",""
"+ Add User to Group","+ Добавить пользователя к группе"
"+ Create a New Form","+ Создать новую анкету"
"+ Create a New Group","+ Создать новую группу"
"+ Create a New User","+ Создать нового пользователя"
"About",""
"Accuracy","Аккуратность"
"Accuracy Level","Уровень аккуратности"
"Accuracy Level:",""
"Add Class","Добавить класс"
"Add New User","Добавить нового пользователя"
"Add Student","Добавить ученика"
"Add User to Group",""
"An update is available. Be sure to first sync your data before installing the update. If you have not done this, click `Cancel`. If you are ready to install the update, click `Yes`","Возможно обновление. Убедитесь синхронизировать вашу информацию, перед установкой обновления. Если это не сделано, нажмите 'Отмена'. Если готовы к установке обновления, нажмите 'Да'"
"Applying Updates...","Выполняется обновление..."
"April",""
"Are you sure you want to start a form response?","Вы уверены, что хотите начать заполнение анкеты?"
"Are you sure you would like to exit the form?",""
"August",""
"Average","Среднее"
"Average Correct","Средняя правильная"
"Average Correct (%)","Средняя правильная (%)"
"Case",""
"Cases",""
"Check for Update","Проверьте обновления"
"Checking",""
"Checking For Updates...","Проверяются обновления..."
"Choose a task report from one of the following selections:","Выберите отчет:"
"Choose which case type",""
"Class Grouping","Группировка по классам"
"Class Size",""
"Class grouping","Группировка по классам"
"Click a Picture","Нажмите на картинку"
"Click the play button to get started.","Нажмите кнопку 'играть' для начала."
"Click to Download","Нажмите для скачивания"
"Close","Закройте"
"Complete",""
"Confirm New Password","Подтвердите новый пароль"
"Confirm Password","Подтвердите пароль"
"Continue",""
"Correct",""
"Could Not Contact Server.","Не удалось связаться с сервером."
"Could Not Create User","Не удалось создать нового пользователя"
"Could Not Generate APK","Не удалось создать АРК"
"Could Not Generate PWA","Не удалось создать PWA"
"Could Not Load List Of Forms","Не удалось открыть перечень анкет"
"Create",""
"Create Form","Создайте анкету"
"Create New Case",""
"Curriculum",""
"DATA QUERIES",""
"Date and Time","Дата и время"
"Day",""
"December",""
"Distance from reference","Расстояние оn ссылки"
"Docs Not Uploaded","Документы не загружены"
"Docs Uploaded","Документы загружены"
"Download CSV","Скачайте CSV"
"Download your APK","Скачайте вашу АРК"
"EXPORT DATA FOR ALL USERS","ЭКСПОРТИРУЙТЕ ДАННЫЕ ДЛЯ ВСЕХ ПОЛЬЗОВАТЕЛЕЙ"
"Edit Item","Измените элемент"
"Email","Отправьте по эл-почте"
"Enter your response to above question here","Введите ваш ответ на вышеупомянутый вопрос сюда"
"Error Downloading File","Ошибка скачивания файла"
"Event",""
"Export Data","Экспортируйте данные"
"Failed to download application configuration file",""
"February",""
"Feedback","Обратная связь"
"File Stored At","Файл размешен в"
"Filter","Фильтр(уйте)"
"Find Case",""
"First Name","Имя"
"Form",""
"Form Id","Идентификационный номер формы"
"Form Name","Название формы"
"Form Title","Заголовок формы"
"Forms","Формы"
"Generate APK/PWA","Создайте APK/PWA"
